@relation relation

@attribute RDcost_MSM numeric
@attribute RDcost_2Nx2N numeric
@attribute RDcost_2NxN numeric
@attribute RDcost_Nx2N numeric
@attribute part {0,1,2,3,4,5,6,7}
@attribute MergeFlag {0,1}
@attribute SkipMergeFlag {0,1}
@attribute med_med numeric
@attribute neighDepth_diff numeric
@attribute SplitQuadtree {0,1}

@data
638,1147,1147,1090,0,1,1,1,-1,0
1759,1986,2042,3379,0,0,0,1,-1,0
546,1112,1112,1055,0,1,1,1,-1,0
591,1582,1843,1870,0,1,0,0.666667,-1.33333,0
633,1228,1760,1730,0,1,0,0.666667,-1.33333,0
545,1280,1524,1467,0,1,1,0.666667,-1.33333,0
444,1122,1327,1270,0,1,0,0.666667,-1.33333,0
479,1373,1627,1570,0,1,1,0.666667,-1.33333,0
474,1193,1335,1278,0,1,0,0.666667,-1.33333,0
522,1314,1554,1497,0,1,1,0.666667,-1.33333,0
485,1314,1258,1201,0,1,1,0.666667,-1.33333,0
382,1174,1444,1387,0,1,0,0.666667,-1.33333,0
854,1532,1594,1764,0,1,0,1,-1,0
1201,2025,2624,2562,0,0,0,1,-1,0
2034,2317,2317,2261,0,1,0,1,-1,0
592,1101,1101,1044,0,1,1,1,-1,0
772,1337,1281,1224,0,0,0,1,-1,0
654,1158,1219,1163,0,0,0,1,-1,0
568,1077,1134,1077,0,1,1,1,-1,0
693,1202,1428,1089,0,1,0,1,-1,0
547,1169,1113,1263,0,1,1,1,-1,0
573,1195,1139,1082,0,1,1,1,-1,0
828,1393,1337,1280,0,1,1,1,-1,0
338,960,904,847,0,1,1,1,-1,0
1200,1742,1935,1652,0,0,0,1,-1,0
471,980,1036,980,0,1,1,1,-1,0
418,927,984,927,0,0,0,0.666667,-1.33333,0
1592,1571,2101,2045,0,0,0,0.666667,-1.33333,0
624,1190,1133,1234,0,0,0,0.666667,-1.33333,0
569,1166,965,1166,0,0,0,0.666667,-1.33333,0
527,979,923,1092,0,1,0,0.666667,-1.33333,0
847,1356,1356,1175,0,1,0,0.666667,-1.33333,0
506,1132,1015,958,0,0,0,0.666667,-1.33333,0
396,918,918,861,0,1,1,0.666667,-1.33333,0
504,1202,1249,1192,0,1,0,0.666667,-1.33333,0
503,1107,1039,982,0,1,1,0.666667,-1.33333,0
616,1220,1390,1191,0,1,0,0.666667,-1.33333,0
637,1313,1313,1256,0,1,0,0.666667,-1.33333,0
385,1129,1356,1105,0,1,0,0.666667,-1.33333,0
594,1162,1162,1105,0,1,1,0.666667,-1.33333,0
438,924,924,867,0,1,1,0.666667,-1.33333,0
983,1349,1278,1278,0,0,0,0.666667,-1.33333,0
661,1106,1106,1106,0,1,1,0.666667,-1.33333,0
823,1417,1459,1417,0,1,1,0.666667,-1.33333,0
986,1322,1269,1212,0,0,0,0.666667,-1.33333,0
250,816,1017,759,0,1,1,0.666667,-1.33333,0
403,875,875,966,0,1,0,0.666667,-1.33333,0
469,1005,948,1125,0,1,1,0.666667,-1.33333,0
664,1230,1230,1173,0,1,1,0.666667,-1.33333,0
631,1197,1253,1197,0,1,1,0.666667,-1.33333,0
651,1217,1217,1160,0,1,1,1,-1,0
462,1028,1084,1028,0,1,0,1,-1,0
784,1349,1444,1346,0,1,0,1,-1,0
378,1153,944,887,0,1,1,1,-1,0
674,1183,1466,1409,0,1,0,1,-1,0
627,1192,1192,1136,0,1,0,1,-1,0
500,952,952,952,0,0,0,1,-1,1
582,1091,1148,1091,7,0,0,1,-1,0
865,1277,1148,1091,0,0,0,1,-1,0
473,1039,1039,1039,0,1,1,1,-1,0
721,1281,1447,1208,0,1,1,1,-1,0
819,1102,1158,1102,0,0,0,1,-1,0
529,1094,1094,1038,0,1,1,1,-1,0
349,915,915,915,0,1,1,1,-1,0
862,1555,1614,1310,0,1,1,1,-1,0
835,1475,1680,1701,0,1,1,1,-1,0
979,1262,1262,1205,0,0,0,0.666667,-1.33333,0
599,1129,1186,1132,0,1,1,0.666667,-1.33333,0
581,1146,1146,1090,0,1,1,0.666667,-1.33333,0
410,976,1032,976,0,1,1,0.666667,-1.33333,0
472,1037,1037,1037,0,1,1,0.666667,-1.33333,0
455,1021,1021,1021,0,1,0,0.666667,-1.33333,0
376,942,942,942,0,1,1,0.666667,-1.33333,0
693,1271,1797,993,0,1,0,0.666667,-1.33333,0
708,1048,1048,991,0,0,0,0.666667,-1.33333,0
453,1019,1019,962,0,1,1,0.666667,-1.33333,0
742,1417,1698,1232,0,1,0,0.666667,-1.33333,0
1211,1977,2132,1494,2,1,1,1.6875,-0.3125,1
2113,1864,2545,2552,2,0,0,1.6875,-0.3125,0
1119,1648,1447,1572,1,1,0,1.6875,-0.3125,0
948,1230,1230,1174,0,0,0,1.6875,-0.3125,0
7851,3653,4038,4168,6,0,0,1.57292,-0.427083,0
7536,3765,4398,4091,0,0,0,1.57292,-0.427083,0
8461,5634,6144,6087,0,0,0,1.22917,-0.770833,0
1267,1496,2307,2164,0,0,0,1.33333,-0.666667,0
5664,5947,6060,6003,0,0,0,1.33333,-0.666667,0
1492,1718,1831,2001,0,0,0,1.33333,-0.666667,0
2096,2379,2435,2435,0,1,0,1.33333,-0.666667,0
8444,6706,7694,7309,0,1,0,1.33333,-0.666667,0
8315,7209,8116,8110,0,0,0,1.33333,-0.666667,1
1741,2024,2250,2250,1,1,1,1.33333,-0.666667,1
7630,2588,5816,2984,0,1,0,1.33333,-0.666667,0
971,1345,1458,1571,4,0,0,1.33333,-0.666667,0
1440,1666,1722,1892,0,1,0,1.33333,-0.666667,0
864,1486,1543,1543,0,1,1,1.07292,-0.927083,0
1003,1230,1512,1343,0,0,0,1.07292,-0.927083,0
4360,4973,4813,4643,0,1,0,1.07292,-0.927083,0
2340,2629,2623,2890,0,0,0,1.07292,-0.927083,0
2805,2290,3896,2848,0,0,0,1.07292,-0.927083,0
940,1983,2096,2096,0,1,0,1.07292,-0.927083,0
1891,2116,1695,2721,0,1,0,1.07292,-0.927083,0
1849,1399,1816,2212,0,0,0,1.07292,-0.927083,0
1089,1417,1473,1643,0,1,1,1.07292,-0.927083,0
1364,1590,1703,1703,1,0,0,1.07292,-0.927083,0
1270,1553,1553,1553,0,1,0,1.08333,-0.916667,0
4540,3961,4864,4823,0,0,0,1.08333,-0.916667,0
5314,5662,5597,6412,0,0,0,1.08333,-0.916667,1
6832,4098,4593,4713,0,0,0,1.08333,-0.916667,1
566,1188,1188,1188,0,1,0,1.08333,-0.916667,0
869,1152,1209,1435,0,1,0,1.08333,-0.916667,0
1937,2407,2577,2803,1,0,0,1.08333,-0.916667,0
1622,1905,1905,2131,0,0,0,1.08333,-0.916667,0
3384,3611,3071,3667,4,0,0,1.08333,-0.916667,0
7098,4368,4262,4280,7,0,0,1.29167,-0.708333,0
3492,3606,3719,3832,0,0,0,1.29167,-0.708333,1
2427,3002,2710,2823,0,0,0,1.29167,-0.708333,1
951,1912,1539,1233,0,1,0,1.29167,-0.708333,0
4550,4123,3933,4553,0,0,0,1.29167,-0.708333,0
1114,1874,3237,2326,0,1,0,1.29167,-0.708333,0
1704,1919,2146,2315,6,1,0,1.29167,-0.708333,0
2558,3028,3183,2954,0,1,0,1.29167,-0.708333,0
4581,4025,4864,4590,0,1,0,1.29167,-0.708333,0
2767,2767,2751,3983,0,0,0,1.53125,-0.46875,0
3371,2741,3122,3646,1,1,0,1.53125,-0.46875,0
447,1013,1126,1126,0,1,1,1.53125,-0.46875,0
636,1389,1306,1306,0,1,1,1.53125,-0.46875,0
2108,2277,2316,3098,5,1,0,1.53125,-0.46875,0
2154,1857,2095,2719,5,1,0,1.53125,-0.46875,0
855,1025,1635,1138,7,1,0,1.53125,-0.46875,0
468,807,920,920,6,1,0,1.53125,-0.46875,0
3525,3312,3812,4253,6,1,0,1.53125,-0.46875,0
4684,3677,3369,3674,5,1,0,1.53125,-0.46875,0
603,960,1016,1016,5,0,0,1.53125,-0.46875,0
730,1197,1119,1098,2,1,0,1.53125,-0.46875,0
4237,4486,4443,4211,4,1,0,1.53125,-0.46875,0
3723,2445,2292,3435,2,1,0,1.53125,-0.46875,0
2839,2529,2757,2463,0,0,0,1.3125,-0.6875,0
1510,1743,1906,1989,0,0,0,1.3125,-0.6875,0
574,1129,1357,1181,0,1,1,1.3125,-0.6875,0
452,1017,1017,1017,0,1,1,1.3125,-0.6875,0
456,1194,1021,1021,0,1,1,1.3125,-0.6875,0
